2023-07-18 12:13:34 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-18 12:13:39 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-18 12:13:53 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-18 12:13:55 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-18 12:13:56 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-18 12:13:57 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-18 12:13:57 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-18 12:13:58 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-18 12:18:29 [@GS003021]
CSRF check failed for User ID:  at /GLPI-Solutions/front/login.php2023-07-19 09:20:40 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:20:41 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:21:09 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:32:53 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:33:50 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:34:46 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:35:00 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:37:00 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:37:12 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:37:14 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 09:37:14 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:19:43 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:19:44 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:20:36 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:20:39 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:20:40 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:20:41 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:20:42 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:20:55 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:20:57 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:21:55 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:21:56 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:21:58 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:21:59 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:22:01 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:22:02 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:22:03 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:22:04 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:47:35 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 10:47:42 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 10:47:43 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 10:47:48 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 10:47:48 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 10:47:48 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 10:47:48 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 10:47:56 [2@GS003021]
